Chnlen,StpPct,nObs,Equity,EquityMax,MaxDrawdown,NumTrades,NumPositiveTrades,PctPosTrade,AvgWinner,AvgLooser,DeltaMean,DeltaSum2_C,DeltaSum3_C,DeltaSum4_C,Var,Std,Skew,XKurt
8010,0.015,169317,324254,325887,-22542.4,167,50,0.299401,2795.07,-4114.56,0.733855,1.66432e+09,2.39565e+12,1.87256e+16,9829.62,99.1445,5974.03,1141.62
9010,0.005,169317,311829,315134,-12804.5,443,123,0.277652,1953.52,-2043.15,0.660487,7.40042e+08,2.30761e+12,1.6453e+16,4370.75,66.1116,19407.9,5083.65
9010,0.006,169317,307997,311135,-16976.2,381,104,0.272966,1873.67,-2295.38,0.637836,8.30939e+08,2.40792e+12,1.7345e+16,4907.59,70.0542,17021.2,4250.4
9010,0.007,169317,305555,308275,-18558.3,332,88.5,0.266566,1859.56,-2567.35,0.623442,9.25223e+08,2.42686e+12,1.74408e+16,5464.45,73.9219,14600.8,3446.65
9010,0.008,169317,305345,307446,-20622.7,290,78,0.268966,1912.14,-3532.98,0.622147,1.01471e+09,2.42344e+12,1.75215e+16,5992.98,77.4143,12694.6,2878.28
9010,0.009,169317,323476,325618,-22039.4,248,69.5,0.280242,2039.02,-3657.32,0.729275,1.10967e+09,2.41343e+12,1.75801e+16,6553.78,80.9554,11054.7,2414.34
9010,0.01,169317,323236,324315,-20567.3,224,62.5,0.279018,2036.41,-3836.52,0.727834,1.183e+09,2.41068e+12,1.76183e+16,6986.9,83.5877,10031.4,2128.55
9010,0.011,169317,333618,334784,-17610.6,199,55.5,0.278894,2227.08,-2552.56,0.789165,1.27397e+09,2.44074e+12,1.76759e+16,7524.17,86.742,9088.31,1841.01
9010,0.012,169317,316565,317848,-18973.5,192,54,0.28125,2307.88,-2556.14,0.688456,1.32314e+09,2.40555e+12,1.77292e+16,7814.58,88.4001,8462.63,1711.66
9010,0.013,169317,308463,310685,-23003.3,181,52,0.287293,2291.75,-3433.2,0.640597,1.38838e+09,2.38e+12,1.77848e+16,8199.88,90.5532,7789.6,1559.19
9010,0.014,169317,312430,316215,-16763.7,169,48,0.284024,2767.45,-3922.31,0.664038,1.48546e+09,2.35881e+12,1.7902e+16,8773.27,93.6657,6975.9,1370.66
9010,0.015,169317,315796,319383,-16286.4,157,45,0.286624,2739.89,-4062.14,0.683889,1.57031e+09,2.34221e+12,1.80318e+16,9274.4,96.3037,6373.03,1235.13
